instancia, nombre, t_ordenamiento, t_lineal, t_binaria
1024, Nidoqueen, 0.003459016, 4.12192E-4, 4.50886E-6
1024, Abra, 0.003459016, 1.32436E-4, 3.3873200000000003E-6
1024, Ponyta, 0.003459016, 1.98667E-4, 5.2853E-6
1024, Weepinbell, 0.003459016, 2.13292E-4, 4.34351E-6
1024, Primeape, 0.003459016, 1.2118E-4, 7.4756E-7
1024, Nidoqueen, 7.40952E-4, 1.53409E-4, 8.0997E-7
1024, PidgeotMega Pidgeot, 7.40952E-4, 1.80229E-4, 1.4019699999999999E-6
1024, BeedrillMega Beedrill, 7.40952E-4, 1.71834E-4, 1.3789999999999998E-6
1024, Gengar, 7.40952E-4, 1.84975E-4, 1.4912799999999999E-6
1024, Pidgeot, 7.40952E-4, 1.71401E-4, 1.50969E-6
1024, Nidoqueen, 7.39382E-4, 1.1935E-4, 8.6803E-7
1024, Pidgeotto, 7.39382E-4, 1.07292E-4, 7.374400000000001E-7
1024, Vileplume, 7.39382E-4, 1.07909E-4, 7.3011E-7
1024, Pikachu, 7.39382E-4, 1.14014E-4, 7.345400000000001E-7
1024, Growlithe, 7.39382E-4, 1.08032E-4, 7.828E-7
1024, Nidoqueen, 5.58464E-4, 1.08355E-4, 7.96E-7
1024, Kadabra, 5.58464E-4, 1.07848E-4, 7.473400000000001E-7
1024, Mankey, 5.58464E-4, 1.07258E-4, 7.634700000000001E-7
1024, Diglett, 5.58464E-4, 1.07609E-4, 7.612699999999999E-7
1024, Rattata, 5.58464E-4, 1.43397E-4, 1.44305E-6
1024, Nidoqueen, 2.27304E-4, 1.11096E-4, 7.9403E-7
1024, Nidorina, 2.27304E-4, 1.11311E-4, 8.896299999999999E-7
1024, Charmander, 2.27304E-4, 1.11115E-4, 9.249199999999999E-7
1024, Oddish, 2.27304E-4, 1.06615E-4, 7.1414E-7
1024, Psyduck, 2.27304E-4, 1.07766E-4, 7.7469E-7
1024, Nidoqueen, 2.26324E-4, 1.18874E-4, 8.056200000000001E-7
1024, Ponyta, 2.26324E-4, 1.08073E-4, 7.879699999999999E-7
1024, Metapod, 2.26324E-4, 1.06711E-4, 8.2123E-7
1024, Kadabra, 2.26324E-4, 1.08528E-4, 7.4521E-7
1024, Rapidash, 2.26324E-4, 1.0679E-4, 6.538899999999999E-7
1024, Nidoqueen, 2.24413E-4, 1.14475E-4, 7.925E-7
1024, Graveler, 2.24413E-4, 1.0878E-4, 7.5838E-7
1024, Pikachu, 2.24413E-4, 1.0665E-4, 7.665699999999999E-7
1024, Venusaur, 2.24413E-4, 1.07079E-4, 7.0808E-7
1024, Golduck, 2.24413E-4, 1.07598E-4, 7.0479E-7
1024, Nidoqueen, 2.25573E-4, 1.08833E-4, 8.0324E-7
1024, Nidoqueen, 2.25573E-4, 1.07714E-4, 8.3069E-7
1024, Abra, 2.25573E-4, 1.04722E-4, 7.5324E-7
1024, PidgeotMega Pidgeot, 2.25573E-4, 1.04936E-4, 7.7862E-7
1024, Pidgeotto, 2.25573E-4, 1.08089E-4, 7.1259E-7
1024, Nidorina, 2.26582E-4, 1.1218E-4, 7.2038E-7
1024, Grimer, 2.26582E-4, 1.05879E-4, 6.4972E-7
1024, GengarMega Gengar, 2.26582E-4, 1.0388E-4, 7.6762E-7
1024, Nidoran♂, 2.26582E-4, 1.11506E-4, 8.377E-7
1024, Ninetales, 2.26582E-4, 1.06548E-4, 7.8908E-7
1024, Nidorina, 2.41515E-4, 1.18422E-4, 7.366599999999999E-7
1024, Vileplume, 2.41515E-4, 1.1601E-4, 6.816800000000001E-7
1024, Nidorino, 2.41515E-4, 1.08595E-4, 7.5861E-7
1024, Primeape, 2.41515E-4, 1.08338E-4, 7.2413E-7
1024, Graveler, 2.41515E-4, 1.05488E-4, 7.631099999999999E-7
1024, Nidoqueen, 2.2461E-4, 1.1279E-4, 7.9622E-7
1024, Nidorino, 2.2461E-4, 1.15363E-4, 7.7038E-7
1024, Venonat, 2.2461E-4, 1.0769E-4, 7.8564E-7
1024, Dewgong, 2.2461E-4, 1.08115E-4, 7.813900000000001E-7
1024, BeedrillMega Beedrill, 2.2461E-4, 1.04905E-4, 6.9157E-7
1024, Nidorina, 2.4118E-4, 9.8319E-5, 6.4397E-7
1024, Muk, 2.4118E-4, 1.55726E-4, 7.171E-7
1024, Dodrio, 2.4118E-4, 1.12093E-4, 6.9177E-7
1024, BlastoiseMega Blastoise, 2.4118E-4, 9.6648E-5, 1.36127E-6
1024, Golem, 2.4118E-4, 1.1131E-4, 7.0609E-7
1024, Nidorina, 1.98456E-4, 1.29393E-4, 1.37318E-6
1024, Parasect, 1.98456E-4, 1.09239E-4, 7.1585E-7
1024, PidgeotMega Pidgeot, 1.98456E-4, 1.04253E-4, 7.067200000000001E-7
1024, Charmeleon, 1.98456E-4, 1.05642E-4, 8.6416E-7
1024, Clefable, 1.98456E-4, 3.7829E-5, 6.8987E-7
1024, Nidorina, 2.11361E-4, 2.3842E-5, 6.439E-7
1024, CharizardMega Charizard X, 2.11361E-4, 1.9536E-5, 7.4835E-7
1024, Mankey, 2.11361E-4, 2.2172E-5, 6.7356E-7
1024, Pikachu, 2.11361E-4, 2.2096E-5, 6.596999999999999E-7
1024, Clefairy, 2.11361E-4, 2.2551E-5, 6.2479E-7
1024, Nidorina, 2.8323E-4, 2.3234E-5, 6.8196E-7
1024, Shellder, 2.8323E-4, 2.2511E-5, 5.6934E-7
1024, Victreebel, 2.8323E-4, 2.0009E-5, 6.798499999999999E-7
1024, Ponyta, 2.8323E-4, 2.106E-5, 7.0123E-7
1024, Vulpix, 2.8323E-4, 2.0623E-5, 6.8464E-7
1024, Nidorina, 2.56153E-4, 2.5344E-5, 6.4071E-7
1024, Shellder, 2.56153E-4, 2.2669E-5, 5.6596E-7
1024, SlowbroMega Slowbro, 2.56153E-4, 1.8667E-5, 6.7925E-7
1024, Charmeleon, 2.56153E-4, 2.0122E-5, 6.7316E-7
1024, Geodude, 2.56153E-4, 2.1801E-5, 5.893400000000001E-7
1024, Nidorino, 2.34012E-4, 2.3583E-5, 7.6865E-7
1024, Ponyta, 2.34012E-4, 2.2451E-5, 7.1474E-7
1024, Vileplume, 2.34012E-4, 2.1137E-5, 6.183099999999999E-7
1024, Nidoran♀, 2.34012E-4, 2.458E-5, 7.045199999999999E-7
1024, Pidgeotto, 2.34012E-4, 2.162E-5, 6.599699999999999E-7
1024, Nidoran♂, 2.03894E-4, 2.3723E-5, 7.3743E-7
1024, Nidorino, 2.03894E-4, 2.4964E-5, 6.9306E-7
1024, Magnemite, 2.03894E-4, 2.1345E-5, 6.757099999999999E-7
1024, Psyduck, 2.03894E-4, 2.2702E-5, 6.707000000000001E-7
1024, Slowpoke, 2.03894E-4, 2.2829E-5, 6.5167E-7
1024, Nidorino, 2.06449E-4, 2.3303E-5, 6.9806E-7
1024, Graveler, 2.06449E-4, 3.6805E-5, 1.5033E-6
